date,country,medicine,pricing_history
2018-01-31,DZA,Amoxicillin Tablet 500mg,0.045404834726652105
2018-02-28,DZA,Amoxicillin Tablet 500mg,0.045404579129560765
2018-03-31,DZA,Amoxicillin Tablet 500mg,0.045403803944171275
2018-04-30,DZA,Amoxicillin Tablet 500mg,0.04540231366558936
2018-05-31,DZA,Amoxicillin Tablet 500mg,0.045399744435287964
2018-06-30,DZA,Amoxicillin Tablet 500mg,0.04539600881823848
2018-07-31,DZA,Amoxicillin Tablet 500mg,0.04539059326668264
2018-08-31,DZA,Amoxicillin Tablet 500mg,0.04538332795980386
2018-09-30,DZA,Amoxicillin Tablet 500mg,0.04537427983006831
2018-10-31,DZA,Amoxicillin Tablet 500mg,0.04536258116220533
2018-11-30,DZA,Amoxicillin Tablet 500mg,0.04534873351715803
2018-12-31,DZA,Amoxicillin Tablet 500mg,0.04533154921196829
2019-01-31,DZA,Amoxicillin Tablet 500mg,0.045311173859681156
2019-02-28,DZA,Amoxicillin Tablet 500mg,0.04528980148990441
2019-03-31,DZA,Amoxicillin Tablet 500mg,0.04526260203645574
2019-04-30,DZA,Amoxicillin Tablet 500mg,0.045232493236708415
2019-05-31,DZA,Amoxicillin Tablet 500mg,0.04519720333072437
2019-06-30,DZA,Amoxicillin Tablet 500mg,0.04515875589480933
2019-07-31,DZA,Amoxicillin Tablet 500mg,0.04511432325994734
2019-08-31,DZA,Amoxicillin Tablet 500mg,0.04506484105605213
2019-09-30,DZA,Amoxicillin Tablet 500mg,0.04501189121583771
2019-10-31,DZA,Amoxicillin Tablet 500mg,0.04495167924333482
2019-11-30,DZA,Amoxicillin Tablet 500mg,0.044887836590108504
2019-12-31,DZA,Amoxicillin Tablet 500mg,0.04481584257265539
2020-01-31,DZA,Amoxicillin Tablet 500mg,0.04473745769439458
2020-02-29,DZA,Amoxicillin Tablet 500mg,0.04465810347444277
2020-03-31,DZA,Amoxicillin Tablet 500mg,0.044566577160643536
2020-04-30,DZA,Amoxicillin Tablet 500mg,0.04447116156472378
2020-05-31,DZA,Amoxicillin Tablet 500mg,0.04436523114033385
2020-06-30,DZA,Amoxicillin Tablet 500mg,0.044255366916579914
2020-07-31,DZA,Amoxicillin Tablet 500mg,0.04413398010525675
2020-08-31,DZA,Amoxicillin Tablet 500mg,0.04400433514457716
2020-09-30,DZA,Amoxicillin Tablet 500mg,0.04387075344712528
2020-10-31,DZA,Amoxicillin Tablet 500mg,0.043724065059782685
2020-11-30,DZA,Amoxicillin Tablet 500mg,0.043573480557652464
2020-12-31,DZA,Amoxicillin Tablet 500mg,0.04340869646730432
2021-01-31,DZA,Amoxicillin Tablet 500mg,0.04323431293582529
2021-02-28,DZA,Amoxicillin Tablet 500mg,0.0430683282528225
2021-03-31,DZA,Amoxicillin Tablet 500mg,0.042874923999279474
2021-04-30,DZA,Amoxicillin Tablet 500mg,0.04267787019991885
2021-05-31,DZA,Amoxicillin Tablet 500mg,0.04246376542816166
2021-06-30,DZA,Amoxicillin Tablet 500mg,0.04224616970326674
2021-07-31,DZA,Amoxicillin Tablet 500mg,0.042010312136952804
2021-08-31,DZA,Amoxicillin Tablet 500mg,0.041762996607572156
2021-09-30,DZA,Amoxicillin Tablet 500mg,0.04151249351736597
2021-10-31,DZA,Amoxicillin Tablet 500mg,0.041241838153698834
2021-11-30,DZA,Amoxicillin Tablet 500mg,0.040968238961114165
2021-12-31,DZA,Amoxicillin Tablet 500mg,0.040673191486818014
2022-01-31,DZA,Amoxicillin Tablet 500mg,0.04036534475768069
